#SAMPLE	HQ_HOM	HQ_HOM_RATE	HQ_HET	HQ_HET_RATE	CHARR	MEAN_REF_AB_HOM_ALT	HET_RATE	INCONSISTENT_AB_HET_RATE
HG02780	1107205	1.00000	1681999	0.99947	0.00182	0.00063	1.51914	0.01186
HG00142	976417	1.00000	1770645	0.99954	0.00083	0.00026	1.81341	0.01657
HG03604	1018449	1.00000	1808719	0.99939	0.00340	0.00122	1.77595	0.01263
HG02259	1185454	1.00000	1504724	0.99945	0.00097	0.00032	1.26932	0.01259
HG02394	1117068	1.00000	1635832	0.99942	0.00131	0.00044	1.46440	0.01307
NA18544	1104789	1.00000	1650243	0.99947	0.00098	0.00032	1.49372	0.01331
NA19456	1024277	1.00000	1721252	0.99950	0.00094	0.00031	1.68046	0.01260
HG01462	950691	1.00000	1889879	0.99952	0.00097	0.00029	1.98790	0.01205
HG00662	1154572	1.00000	1685638	0.99956	0.00209	0.00069	1.45997	0.00985
HG03698	1027685	1.00000	1793362	0.99952	0.00094	0.00030	1.74505	0.01243
NA19475	1031172	1.00000	1723588	0.99950	0.00072	0.00024	1.67148	0.01294
HG01374	1014703	1.00000	1797238	0.99957	0.00103	0.00033	1.77120	0.01165
HG03589	995625	1.00000	1787363	0.99948	0.00221	0.00076	1.79522	0.01240
HG03720	1019003	1.00000	1770933	0.99943	0.00229	0.00082	1.73791	0.01364
HG01992	1125548	1.00000	1510750	0.99944	0.00086	0.00029	1.34224	0.01441
HG03762	970501	1.00000	1783227	0.99893	0.00748	0.00280	1.83743	0.01515
NA20814	993106	1.00000	1780660	0.99954	0.00094	0.00029	1.79302	0.01203
HG03645	999813	1.00000	1773848	0.99951	0.00152	0.00048	1.77418	0.01303
HG00326	1025600	1.00000	1789981	0.99953	0.00113	0.00035	1.74530	0.01057
NA21123	1017891	1.00000	1812357	0.99953	0.00105	0.00032	1.78050	0.01223
HG02262	1101807	1.00000	1668650	0.99952	0.00125	0.00039	1.51447	0.01204
HG03673	1011065	1.00000	1795108	0.99950	0.00101	0.00032	1.77546	0.01236
HG01461	972965	1.00000	1850233	0.99956	0.00084	0.00026	1.90164	0.01230
HG03697	1031993	1.00000	1775418	0.99951	0.00099	0.00032	1.72038	0.01292
NA20886	1039347	1.00000	1731985	0.99950	0.00100	0.00032	1.66642	0.01282
NA12045	987958	1.00000	1769254	0.99952	0.00097	0.00030	1.79082	0.01188
HG01951	1154395	1.00000	1480848	0.99938	0.00136	0.00050	1.28279	0.01458
HG02491	991942	1.00000	1821802	0.99952	0.00094	0.00030	1.83660	0.01214
HG01197	976404	1.00000	1792498	0.99954	0.00097	0.00030	1.83582	0.01246
NA12399	1012582	1.00000	1778394	0.99953	0.00118	0.00037	1.75630	0.01103
HG01142	975141	1.00000	1885251	0.99954	0.00222	0.00077	1.93331	0.01120
HG01066	982596	1.00000	1807222	0.99953	0.00104	0.00032	1.83923	0.01200
HG03548	1050331	1.00000	1683007	0.99953	0.00087	0.00030	1.60236	0.01329
NA20772	963251	1.00000	1679092	0.99950	0.00107	0.00033	1.74315	0.01454
NA18941	1114604	1.00000	1639990	0.99945	0.00087	0.00028	1.47137	0.01317
NA20902	1022766	1.00000	1801174	0.99951	0.00089	0.00027	1.76108	0.01236
HG02281	1009616	1.00000	1669043	0.99953	0.00089	0.00029	1.65315	0.01420
NA18965	1116860	1.00000	1691378	0.99945	0.00106	0.00034	1.51440	0.01295
