#SAMPLE	HQ_HOM	HQ_HOM_RATE	HQ_HET	HQ_HET_RATE	CHARR	MEAN_REF_AB_HOM_ALT	HET_RATE	INCONSISTENT_AB_HET_RATE
HG00108	1006618	1.00000	1764699	0.97720	0.00691	0.00210	1.75310	0.01146
HG04229	983307	1.00000	1772200	0.97645	0.00834	0.00250	1.80229	0.01475
HG00173	998324	1.00000	1762078	0.97614	0.00628	0.00187	1.76504	0.01337
NA19437	1050415	1.00000	1728845	0.97759	0.00584	0.00187	1.64587	0.01202
HG04018	1048679	1.00000	1796991	0.97656	0.00745	0.00230	1.71358	0.01185
HG02057	1122498	1.00000	1708800	0.97698	0.00585	0.00179	1.52232	0.01161
HG03294	1048504	1.00000	1687298	0.97663	0.00581	0.00186	1.60924	0.01256
HG01626	1018312	1.00000	1807740	0.97660	0.00663	0.00204	1.77523	0.00996
HG03922	1044840	1.00000	1853776	0.97669	0.00862	0.00276	1.77422	0.00943
HG00158	1018738	1.00000	1804914	0.97645	0.00633	0.00192	1.77172	0.00972
HG01348	1059554	1.00000	1777187	0.97535	0.00645	0.00196	1.67730	0.01113
HG03490	1074756	1.00000	1732069	0.97706	0.00716	0.00227	1.61159	0.01094
NA18555	1155478	1.00000	1671259	0.97525	0.00668	0.00209	1.44638	0.01147
HG00150	1028595	1.00000	1800542	0.97565	0.00638	0.00194	1.75049	0.00915
HG04185	1014000	1.00000	1788011	0.97633	0.00861	0.00260	1.76332	0.01342
HG01356	996869	1.00000	1870204	0.97660	0.00672	0.00199	1.87608	0.01055
HG02142	1104394	1.00000	1730888	0.97534	0.00608	0.00185	1.56727	0.01194
HG00428	1128223	1.00000	1652693	0.97479	0.00755	0.00232	1.46486	0.01298
NA19324	1053504	1.00000	1728452	0.97758	0.00563	0.00180	1.64067	0.01186
NA18987	1164113	1.00000	1560550	0.97515	0.00567	0.00176	1.34055	0.01349
HG01260	1008020	1.00000	1893149	0.97691	0.00647	0.00193	1.87809	0.00994
HG01524	997525	1.00000	1757100	0.97680	0.00611	0.00188	1.76146	0.01268
HG02549	1060400	1.00000	1747476	0.97717	0.00596	0.00191	1.64794	0.01064
HG03805	1028068	1.00000	1855566	0.97678	0.00761	0.00241	1.80491	0.01034
NA12287	1025876	1.00000	1778218	0.97693	0.00625	0.00189	1.73337	0.01097
NA11831	1012475	1.00000	1772122	0.97672	0.00649	0.00196	1.75029	0.01021
HG01075	1008368	1.00000	1832000	0.97695	0.00622	0.00188	1.81680	0.01010
HG03212	1091124	1.00000	1687168	0.97723	0.00585	0.00191	1.54627	0.01159
HG03064	1098271	1.00000	1694303	0.97767	0.00706	0.00236	1.54270	0.01082
NA20298	1059245	1.00000	1771183	0.97726	0.00653	0.00207	1.67212	0.01077
HG02078	1122879	1.00000	1634124	0.97494	0.00546	0.00166	1.45530	0.01427
NA19440	1067844	1.00000	1740082	0.97724	0.00541	0.00172	1.62953	0.01132
HG02069	1088638	1.00000	1653313	0.97624	0.00573	0.00175	1.51870	0.01383
HG02489	1033756	1.00000	1797953	0.97750	0.00611	0.00196	1.73924	0.01082
NA19725	993504	1.00000	1801201	0.97718	0.00598	0.00178	1.81298	0.01324
NA21093	1062657	1.00000	1812338	0.97666	0.00722	0.00220	1.70548	0.00777
HG03696	1180428	1.00000	1545091	0.97425	0.00652	0.00207	1.30892	0.01136
NA21144	1017010	1.00000	1742560	0.97650	0.00654	0.00198	1.71341	0.01382
HG00451	1154785	1.00000	1668336	0.97597	0.00709	0.00221	1.44472	0.01061
HG01682	1006877	1.00000	1766131	0.97721	0.00631	0.00190	1.75407	0.01200
HG00182	1008712	1.00000	1797494	0.97693	0.00644	0.00193	1.78197	0.01087
