#SAMPLE	HQ_HOM	HQ_HOM_RATE	HQ_HET	HQ_HET_RATE	CHARR	MEAN_REF_AB_HOM_ALT	HETEROZYGOSITY_RATE	INCONSISTENT_AB_HET_RATE
HG03908	957513	1.00000	1717539	0.99959	0.00222	0.00078	0.64206	0.00989
HG00096	931093	1.00000	1644866	0.99954	0.00089	0.00028	0.63855	0.01157
HG01804	1024879	1.00000	1528971	0.99950	0.00095	0.00030	0.59869	0.01344
HG03025	950925	1.00000	1539037	0.99935	0.00219	0.00084	0.61810	0.01450
HG01796	1027660	1.00000	1519356	0.99953	0.00098	0.00031	0.59652	0.01210
NA18619	1037150	1.00000	1544184	0.99958	0.00097	0.00031	0.59821	0.01224
NA20506	921963	1.00000	1637642	0.99955	0.00137	0.00042	0.63980	0.01164
NA20797	899042	1.00000	1627743	0.99957	0.00129	0.00039	0.64420	0.01185
NA19383	980708	1.00000	1607993	0.99953	0.00086	0.00028	0.62116	0.01165
HG02425	957945	1.00000	1633907	0.99953	0.00093	0.00030	0.63040	0.01227
NA19431	973674	1.00000	1600003	0.99958	0.00082	0.00027	0.62168	0.01194
HG03595	945717	1.00000	1733620	0.99954	0.00176	0.00061	0.64703	0.01111
HG02304	1013286	1.00000	1562857	0.99943	0.00098	0.00032	0.60667	0.01359
HG04054	982626	1.00000	1650765	0.99954	0.00168	0.00056	0.62686	0.01020
HG02759	1030619	1.00000	1499652	0.99948	0.00110	0.00040	0.59268	0.01212
HG01046	1047552	1.00000	1530057	0.99953	0.00086	0.00028	0.59360	0.01210
HG00542	1037951	1.00000	1525337	0.99939	0.00105	0.00034	0.59507	0.01366
HG02076	1042004	1.00000	1549792	0.99950	0.00084	0.00027	0.59796	0.01151
HG03742	940758	1.00000	1692498	0.99954	0.00095	0.00030	0.64274	0.01151
HG01685	889387	1.00000	1610852	0.99954	0.00089	0.00027	0.64428	0.01311
HG04195	931695	1.00000	1686605	0.99943	0.00408	0.00150	0.64416	0.01155
HG02292	1060358	1.00000	1463648	0.99950	0.00129	0.00042	0.57989	0.01222
NA18910	993170	1.00000	1578458	0.99957	0.00072	0.00024	0.61380	0.01266
NA18564	1028021	1.00000	1574180	0.99951	0.00096	0.00030	0.60494	0.01218
NA18994	1057884	1.00000	1563884	0.99953	0.00092	0.00030	0.59650	0.01124
NA19067	1058707	1.00000	1544734	0.99945	0.00085	0.00027	0.59334	0.01253
NA20845	935194	1.00000	1701219	0.99955	0.00108	0.00034	0.64528	0.01139
HG03111	984646	1.00000	1570025	0.99951	0.00145	0.00052	0.61457	0.01189
HG04026	984814	1.00000	1581395	0.99937	0.00303	0.00114	0.61624	0.01243
NA19457	965211	1.00000	1592298	0.99955	0.00067	0.00022	0.62260	0.01199
NA20881	931025	1.00000	1685697	0.99955	0.00089	0.00028	0.64420	0.01206
HG01113	916943	1.00000	1677074	0.99953	0.00093	0.00029	0.64652	0.01193
HG01089	907171	1.00000	1788373	0.99959	0.00101	0.00031	0.66346	0.00971
HG03565	987690	1.00000	1591037	0.99951	0.00211	0.00080	0.61699	0.01151
HG00115	887212	1.00000	1573165	0.99954	0.00083	0.00026	0.63940	0.01359
HG02449	973552	1.00000	1609430	0.99951	0.00088	0.00029	0.62309	0.01157
NA18517	975553	1.00000	1568695	0.99957	0.00110	0.00038	0.61657	0.01175
NA20357	936505	1.00000	1660074	0.99955	0.00086	0.00028	0.63933	0.01149
NA18968	1057460	1.00000	1544027	0.99940	0.00113	0.00036	0.59352	0.01227
HG00641	900292	1.00000	1671136	0.99955	0.00105	0.00033	0.64989	0.01208
HG02684	1051160	1.00000	1423342	0.99948	0.00115	0.00040	0.57520	0.01290
HG00446	1047426	1.00000	1542608	0.99951	0.00086	0.00027	0.59559	0.01187
NA20806	946015	1.00000	1628536	0.99957	0.00097	0.00030	0.63255	0.01080
HG00337	906897	1.00000	1614024	0.99957	0.00093	0.00029	0.64025	0.01271
HG00543	1054867	1.00000	1576673	0.99952	0.00089	0.00029	0.59914	0.01117
HG03854	1007690	1.00000	1581845	0.99942	0.00366	0.00140	0.61086	0.01161
HG04158	935807	1.00000	1683493	0.99946	0.00304	0.00110	0.64273	0.01263
NA19315	984669	1.00000	1614042	0.99955	0.00092	0.00030	0.62109	0.01155
HG03953	872814	1.00000	1547996	0.99939	0.00298	0.00111	0.63945	0.01484
NA19057	1029418	1.00000	1518017	0.99947	0.00096	0.00031	0.59590	0.01348
HG02756	979151	1.00000	1572039	0.99954	0.00087	0.00030	0.61620	0.01327
NA19703	938978	1.00000	1664936	0.99953	0.00102	0.00033	0.63940	0.01153
HG03649	924540	1.00000	1705078	0.99954	0.00124	0.00041	0.64841	0.01210
NA20522	909156	1.00000	1628962	0.99953	0.00120	0.00040	0.64180	0.01215
NA20314	950739	1.00000	1568455	0.99954	0.00097	0.00030	0.62260	0.01292
NA18745	1040781	1.00000	1557875	0.99954	0.00125	0.00039	0.59949	0.01146
HG03120	991922	1.00000	1590081	0.99951	0.00149	0.00052	0.61583	0.01219
HG03376	967975	1.00000	1557128	0.99946	0.00232	0.00087	0.61666	0.01340
HG01351	916792	1.00000	1635854	0.99956	0.00140	0.00042	0.64085	0.01270
NA19085	1005487	1.00000	1506641	0.99943	0.00094	0.00030	0.59975	0.01430
HG01694	913508	1.00000	1602694	0.99953	0.00088	0.00028	0.63695	0.01294
NA20887	945767	1.00000	1684408	0.99952	0.00091	0.00028	0.64042	0.01179
HG03888	934144	1.00000	1666324	0.99952	0.00165	0.00058	0.64078	0.01299
HG03634	932349	1.00000	1691026	0.99952	0.00154	0.00053	0.64460	0.01125
HG00864	1032036	1.00000	1553085	0.99950	0.00089	0.00028	0.60078	0.01211
HG01383	952518	1.00000	1653788	0.99954	0.00098	0.00030	0.63453	0.01158
HG01618	904809	1.00000	1607484	0.99953	0.00095	0.00029	0.63985	0.01268
HG03069	997354	1.00000	1602167	0.99952	0.00128	0.00045	0.61633	0.01105
HG03351	999341	1.00000	1591138	0.99951	0.00178	0.00065	0.61423	0.01072
NA21135	948932	1.00000	1683917	0.99953	0.00098	0.00031	0.63958	0.01152
HG00384	931954	1.00000	1627390	0.99934	0.00424	0.00162	0.63586	0.01235
NA19663	929850	1.00000	1572723	0.99952	0.00076	0.00024	0.62844	0.01312
HG01890	934129	1.00000	1659997	0.99957	0.00086	0.00028	0.63991	0.01320
HG04152	998770	1.00000	1628685	0.99943	0.00451	0.00172	0.61987	0.01050
HG00982	1054614	1.00000	1542840	0.99936	0.00357	0.00136	0.59398	0.01308
NA18878	993075	1.00000	1598189	0.99952	0.00091	0.00030	0.61676	0.01090
HG01171	891372	1.00000	1748623	0.99955	0.00092	0.00028	0.66236	0.01139
HG03931	920892	1.00000	1687124	0.99957	0.00086	0.00027	0.64690	0.01302
HG00190	933155	1.00000	1639156	0.99955	0.00094	0.00029	0.63723	0.01188
HG04211	1059058	1.00000	1389592	0.99936	0.00137	0.00047	0.56749	0.01363
NA18961	1046607	1.00000	1516532	0.99951	0.00108	0.00036	0.59167	0.01262
NA19716	945325	1.00000	1636918	0.99951	0.00077	0.00024	0.63391	0.01342
NA12342	976289	1.00000	1602281	0.99951	0.00111	0.00036	0.62138	0.01017
NA19649	894652	1.00000	1593299	0.99955	0.00090	0.00028	0.64041	0.01389
HG00743	888963	1.00000	1633587	0.99951	0.00087	0.00027	0.64759	0.01312
HG03485	976609	1.00000	1547186	0.99947	0.00249	0.00095	0.61304	0.01295
HG00407	1040672	1.00000	1566608	0.99950	0.00088	0.00028	0.60086	0.01147
HG01862	1045411	1.00000	1560599	0.99952	0.00087	0.00027	0.59885	0.01203
NA19129	999724	1.00000	1581469	0.99956	0.00080	0.00027	0.61269	0.01127
HG01395	911831	1.00000	1695393	0.99955	0.00091	0.00029	0.65027	0.01105
HG03917	942663	1.00000	1714257	0.99926	0.00871	0.00331	0.64520	0.01125
NA18557	1038454	1.00000	1519011	0.99945	0.00095	0.00029	0.59395	0.01231
HG00176	932774	1.00000	1648134	0.99954	0.00094	0.00029	0.63859	0.01117
NA18648	1041125	1.00000	1565467	0.99955	0.00088	0.00028	0.60058	0.01125
NA18861	979460	1.00000	1567499	0.99952	0.00085	0.00028	0.61544	0.01269
NA19701	921269	1.00000	1680451	0.99955	0.00086	0.00027	0.64590	0.01184
NA07051	930523	1.00000	1599962	0.99952	0.00092	0.00029	0.63227	0.01288
HG02278	1062763	1.00000	1437881	0.99942	0.00118	0.00042	0.57500	0.01357
NA20516	928554	1.00000	1635517	0.99950	0.00186	0.00067	0.63786	0.01225
NA19722	909627	1.00000	1665504	0.99950	0.00093	0.00028	0.64676	0.01253
NA18610	1032700	1.00000	1528536	0.99955	0.00089	0.00028	0.59680	0.01257
NA20332	871610	1.00000	1640536	0.99958	0.00090	0.00028	0.65304	0.01332
HG00120	944127	1.00000	1661030	0.99953	0.00087	0.00028	0.63759	0.01018
HG01437	931540	1.00000	1651757	0.99956	0.00091	0.00029	0.63940	0.01196
NA12889	931798	1.00000	1668235	0.99922	0.00146	0.00046	0.64162	0.01576
HG02870	995150	1.00000	1572698	0.99934	0.00502	0.00207	0.61246	0.01215
HG01308	881546	1.00000	1743259	0.99957	0.00130	0.00040	0.66415	0.01142
NA19681	933286	1.00000	1603535	0.99951	0.00085	0.00026	0.63210	0.01303
HG00109	925775	1.00000	1660437	0.99950	0.00111	0.00033	0.64203	0.01155
HG03079	957446	1.00000	1530159	0.99949	0.00130	0.00047	0.61511	0.01407
HG01077	888310	1.00000	1719762	0.99957	0.00090	0.00027	0.65940	0.01164
HG01515	924354	1.00000	1592395	0.99951	0.00092	0.00029	0.63272	0.01290
HG03708	956516	1.00000	1713293	0.99953	0.00148	0.00050	0.64173	0.01005
NA20778	923395	1.00000	1653894	0.99951	0.00099	0.00031	0.64172	0.01151
HG01971	963887	1.00000	1665550	0.99953	0.00088	0.00027	0.63342	0.01211
HG02792	920288	1.00000	1637173	0.99955	0.00169	0.00060	0.64016	0.01273
NA21122	929843	1.00000	1638908	0.99951	0.00091	0.00028	0.63802	0.01254
HG02134	1038550	1.00000	1549745	0.99951	0.00089	0.00029	0.59875	0.01291
HG00278	948821	1.00000	1641716	0.99960	0.00095	0.00029	0.63374	0.01069
HG01200	941335	1.00000	1633653	0.99949	0.00088	0.00028	0.63443	0.01270
HG02635	992216	1.00000	1584256	0.99954	0.00121	0.00043	0.61489	0.01163
HG01624	917631	1.00000	1628496	0.99957	0.00092	0.00028	0.63960	0.01166
HG02817	965946	1.00000	1566735	0.99953	0.00093	0.00031	0.61861	0.01256
HG03916	941723	1.00000	1684928	0.99953	0.00090	0.00028	0.64147	0.01186
NA19436	961355	1.00000	1615667	0.99954	0.00074	0.00024	0.62695	0.01271
HG01619	912268	1.00000	1653400	0.99957	0.00089	0.00028	0.64443	0.01187
HG03780	923832	1.00000	1649744	0.99953	0.00122	0.00041	0.64103	0.01245
HG01101	919945	1.00000	1714594	0.99951	0.00104	0.00032	0.65081	0.01167
NA12347	916786	1.00000	1660554	0.99959	0.00099	0.00031	0.64429	0.01133
NA19090	1078102	1.00000	1558299	0.99951	0.00100	0.00032	0.59107	0.01022
NA12750	933464	1.00000	1654670	0.99954	0.00093	0.00029	0.63933	0.01166
HG03470	993769	1.00000	1599892	0.99949	0.00252	0.00094	0.61685	0.01167
NA18528	1015406	1.00000	1511453	0.99949	0.00076	0.00025	0.59815	0.01425
HG03830	917886	1.00000	1650108	0.99953	0.00090	0.00029	0.64257	0.01408
HG02604	1012806	1.00000	1465466	0.99948	0.00108	0.00036	0.59133	0.01291
HG01628	911726	1.00000	1604558	0.99951	0.00091	0.00029	0.63767	0.01291
NA18605	1045728	1.00000	1542972	0.99952	0.00103	0.00032	0.59604	0.01240
HG01602	916910	1.00000	1610030	0.99951	0.00095	0.00030	0.63715	0.01475
HG01136	919525	1.00000	1737509	0.99957	0.00089	0.00028	0.65393	0.01077
NA19684	889158	1.00000	1725000	0.99958	0.00095	0.00029	0.65987	0.01192
NA20827	939923	1.00000	1673320	0.99954	0.00116	0.00036	0.64032	0.01019
HG02272	1129186	1.00000	1344015	0.99946	0.00118	0.00041	0.54343	0.01189
HG03767	915650	1.00000	1625122	0.99939	0.00379	0.00142	0.63962	0.01318
HG00683	1031660	1.00000	1531600	0.99953	0.00133	0.00041	0.59752	0.01261
HG00692	1039088	1.00000	1549551	0.99948	0.00135	0.00046	0.59860	0.01253
HG02974	963134	1.00000	1546983	0.99954	0.00108	0.00037	0.61630	0.01279
HG03711	959416	1.00000	1605711	0.99948	0.00092	0.00029	0.62598	0.01369
NA18489	1018624	1.00000	1609896	0.99966	0.00116	0.00040	0.61247	0.00756
HG02715	987757	1.00000	1610973	0.99950	0.00125	0.00044	0.61991	0.01172
HG03652	947056	1.00000	1706903	0.99952	0.00161	0.00056	0.64315	0.01085
NA20278	797941	1.00000	1875731	0.99958	0.00101	0.00030	0.70156	0.01207
HG04153	953625	1.00000	1729734	0.99953	0.00253	0.00090	0.64462	0.00937
NA19116	980490	1.00000	1584502	0.99948	0.00110	0.00038	0.61774	0.01207
HG01801	1052257	1.00000	1530443	0.99953	0.00093	0.00030	0.59257	0.01294
HG02614	954109	1.00000	1571614	0.99954	0.00175	0.00066	0.62224	0.01251
HG00336	921216	1.00000	1647583	0.99956	0.00101	0.00031	0.64138	0.01154
NA11930	888612	1.00000	1620767	0.99954	0.00101	0.00031	0.64588	0.01319
HG01679	951324	1.00000	1541293	0.99949	0.00082	0.00026	0.61834	0.01274
HG02309	935589	1.00000	1610316	0.99954	0.00077	0.00025	0.63251	0.01285
HG00330	923721	1.00000	1638072	0.99952	0.00089	0.00028	0.63942	0.01217
NA19376	971055	1.00000	1614377	0.99954	0.00082	0.00027	0.62441	0.01195
NA19060	1060080	1.00000	1542253	0.99951	0.00095	0.00031	0.59264	0.01222
HG02780	1032120	1.00000	1563241	0.99950	0.00177	0.00062	0.60232	0.01128
HG00142	910736	1.00000	1646329	0.99958	0.00078	0.00025	0.64384	0.01604
HG03604	949955	1.00000	1681386	0.99944	0.00337	0.00121	0.63898	0.01207
HG02259	1105082	1.00000	1399589	0.99948	0.00094	0.00031	0.55879	0.01203
HG02394	1041644	1.00000	1522047	0.99945	0.00129	0.00044	0.59369	0.01258
NA18544	1030096	1.00000	1534868	0.99949	0.00095	0.00031	0.59840	0.01281
NA19456	956520	1.00000	1601193	0.99953	0.00090	0.00030	0.62603	0.01209
HG01462	887298	1.00000	1757696	0.99955	0.00093	0.00028	0.66454	0.01155
HG00662	1074989	1.00000	1565504	0.99960	0.00201	0.00066	0.59288	0.00914
HG03698	958272	1.00000	1667485	0.99956	0.00090	0.00029	0.63505	0.01193
NA19475	963237	1.00000	1603154	0.99953	0.00069	0.00023	0.62467	0.01251
HG01374	945931	1.00000	1671298	0.99959	0.00100	0.00032	0.63858	0.01121
HG03589	929132	1.00000	1663217	0.99950	0.00219	0.00075	0.64159	0.01194
HG03720	950865	1.00000	1647259	0.99945	0.00226	0.00081	0.63402	0.01313
HG01992	1050692	1.00000	1405998	0.99946	0.00084	0.00028	0.57231	0.01393
HG03762	906509	1.00000	1659356	0.99904	0.00754	0.00282	0.64670	0.01442
NA20814	925408	1.00000	1656395	0.99957	0.00092	0.00029	0.64157	0.01155
HG03645	932996	1.00000	1651179	0.99953	0.00151	0.00047	0.63896	0.01258
HG00326	955545	1.00000	1663027	0.99956	0.00107	0.00033	0.63509	0.01000
NA21123	948913	1.00000	1685113	0.99956	0.00102	0.00031	0.63975	0.01169
HG02262	1027143	1.00000	1551711	0.99954	0.00120	0.00037	0.60171	0.01149
HG03673	943287	1.00000	1669962	0.99951	0.00096	0.00031	0.63904	0.01190
HG01461	907645	1.00000	1720261	0.99958	0.00082	0.00026	0.65461	0.01186
HG03697	962243	1.00000	1651977	0.99953	0.00096	0.00031	0.63192	0.01243
NA20886	969354	1.00000	1610639	0.99952	0.00096	0.00030	0.62428	0.01230
NA12045	921169	1.00000	1645759	0.99954	0.00094	0.00029	0.64114	0.01141
HG01951	1077497	1.00000	1377916	0.99940	0.00134	0.00049	0.56117	0.01413
HG02491	925156	1.00000	1694615	0.99954	0.00090	0.00028	0.64686	0.01168
HG01197	910414	1.00000	1667527	0.99956	0.00095	0.00029	0.64684	0.01202
NA12399	943385	1.00000	1652840	0.99954	0.00112	0.00035	0.63663	0.01049
HG01142	909561	1.00000	1753226	0.99957	0.00218	0.00076	0.65842	0.01070
HG01066	916262	1.00000	1681267	0.99954	0.00101	0.00031	0.64726	0.01152
HG03548	980744	1.00000	1565680	0.99955	0.00085	0.00029	0.61485	0.01284
NA20772	899551	1.00000	1563343	0.99953	0.00105	0.00032	0.63476	0.01404
NA18941	1039587	1.00000	1525245	0.99947	0.00085	0.00027	0.59468	0.01276
NA20902	953368	1.00000	1674631	0.99953	0.00084	0.00026	0.63723	0.01184
HG02281	943428	1.00000	1553080	0.99955	0.00086	0.00028	0.62210	0.01372
NA18965	1041027	1.00000	1572896	0.99947	0.00102	0.00032	0.60174	0.01238
HG02389	1007968	1.00000	1474501	0.99948	0.00096	0.00031	0.59397	0.01350
HG01958	927001	1.00000	1677390	0.99959	0.00080	0.00026	0.64406	0.01131
HG01556	874851	1.00000	1715701	0.99957	0.00083	0.00025	0.66229	0.01231
NA19355	970963	1.00000	1616646	0.99954	0.00083	0.00027	0.62476	0.01379
HG01168	904780	1.00000	1652266	0.99953	0.00108	0.00035	0.64616	0.01207
HG00583	1035078	1.00000	1544878	0.99951	0.00128	0.00040	0.59880	0.01182
HG02508	959149	1.00000	1618690	0.99941	0.00256	0.00097	0.62793	0.01289
NA19472	937300	1.00000	1548022	0.99956	0.00072	0.00024	0.62287	0.01351
HG00266	915463	1.00000	1625852	0.99952	0.00079	0.00025	0.63977	0.01256
HG00237	922436	1.00000	1620293	0.99952	0.00088	0.00027	0.63723	0.01190
HG00174	925818	1.00000	1645103	0.99958	0.00108	0.00033	0.63989	0.01109
HG01704	912135	1.00000	1636194	0.99951	0.00089	0.00027	0.64207	0.01252
HG03703	902629	1.00000	1629607	0.99947	0.00092	0.00029	0.64354	0.01397
HG00638	913355	1.00000	1742695	0.99954	0.00088	0.00028	0.65612	0.01084
HG02687	950706	1.00000	1647556	0.99955	0.00123	0.00040	0.63410	0.01175
HG03705	952975	1.00000	1667969	0.99951	0.00103	0.00034	0.63640	0.01216
NA18871	1003754	1.00000	1617855	0.99958	0.00147	0.00055	0.61712	0.00953
NA18972	1060793	1.00000	1566522	0.99949	0.00117	0.00037	0.59624	0.01080
HG01926	1123919	1.00000	1338634	0.99944	0.00087	0.00028	0.54360	0.01249
HG03727	948994	1.00000	1677668	0.99953	0.00098	0.00030	0.63871	0.01143
HG02383	1018234	1.00000	1516688	0.99943	0.00090	0.00029	0.59832	0.01344
HG01148	976036	1.00000	1553420	0.99947	0.00105	0.00035	0.61413	0.01276
HG03694	917277	1.00000	1688011	0.99954	0.00082	0.00026	0.64792	0.01266
HG01092	866586	1.00000	1714034	0.99955	0.00094	0.00029	0.66419	0.01250
HG01939	1018817	1.00000	1569706	0.99946	0.00092	0.00029	0.60641	0.01725
HG01676	929906	1.00000	1601325	0.99955	0.00085	0.00026	0.63263	0.01289
NA19319	987104	1.00000	1620658	0.99956	0.00080	0.00027	0.62147	0.01094
HG01791	884379	1.00000	1558032	0.99950	0.00119	0.00036	0.63791	0.01419
HG00478	1046726	1.00000	1517500	0.99948	0.00104	0.00033	0.59180	0.01249
NA20512	920647	1.00000	1655926	0.99952	0.00123	0.00040	0.64269	0.01171
HG01491	1000306	1.00000	1591222	0.99956	0.00093	0.00030	0.61401	0.00936
NA20802	909572	1.00000	1634686	0.99950	0.00146	0.00045	0.64250	0.01264
HG02070	1021740	1.00000	1529144	0.99951	0.00081	0.00026	0.59946	0.01305
HG02155	1015898	1.00000	1510914	0.99952	0.00114	0.00037	0.59795	0.01304
NA19024	968967	1.00000	1606478	0.99950	0.00078	0.00026	0.62377	0.01246
HG00728	1032671	1.00000	1535674	0.99951	0.00080	0.00025	0.59792	0.01253
HG01489	888241	1.00000	1631557	0.99953	0.00083	0.00026	0.64750	0.01291
HG03905	919283	1.00000	1667514	0.99952	0.00194	0.00068	0.64462	0.01288
NA19923	884841	1.00000	1762077	0.99959	0.00089	0.00028	0.66571	0.01130
NA19309	956602	1.00000	1575699	0.99958	0.00089	0.00029	0.62224	0.01242
NA18992	1058317	1.00000	1412556	0.99940	0.00107	0.00037	0.57168	0.01405
HG00729	1067447	1.00000	1559606	0.99950	0.00117	0.00037	0.59367	0.01064
NA20510	894907	1.00000	1591475	0.99948	0.00130	0.00039	0.64008	0.01374
HG02938	1006203	1.00000	1596155	0.99955	0.00157	0.00058	0.61335	0.01097
HG01767	932602	1.00000	1639410	0.99956	0.00091	0.00029	0.63740	0.01174
HG02946	974127	1.00000	1582651	0.99953	0.00096	0.00032	0.61900	0.01270
HG02153	1044652	1.00000	1531865	0.99955	0.00082	0.00026	0.59455	0.01199
HG03856	922632	1.00000	1586200	0.99953	0.00165	0.00057	0.63225	0.01395
HG02154	1073217	1.00000	1480036	0.99947	0.00082	0.00027	0.57967	0.01258
HG00371	953872	1.00000	1633140	0.99956	0.00116	0.00038	0.63128	0.01077
HG04227	949564	1.00000	1672237	0.99952	0.00244	0.00087	0.63782	0.01135
HG02010	903902	1.00000	1626119	0.99951	0.00072	0.00023	0.64273	0.01373
NA18943	1040170	1.00000	1545287	0.99949	0.00098	0.00031	0.59768	0.01179
HG02982	958840	1.00000	1560214	0.99948	0.00243	0.00093	0.61937	0.01303
HG01968	1102068	1.00000	1405428	0.99948	0.00081	0.00027	0.56049	0.01206
NA18952	1054793	1.00000	1536344	0.99944	0.00090	0.00028	0.59292	0.01284
HG02133	1047555	1.00000	1554074	0.99951	0.00095	0.00030	0.59735	0.01236
HG02308	937063	1.00000	1641398	0.99960	0.00090	0.00031	0.63658	0.01204
NA20826	940080	1.00000	1664251	0.99957	0.00092	0.00029	0.63903	0.01066
HG02318	941042	1.00000	1561652	0.99954	0.00124	0.00044	0.62399	0.01337
HG04029	975287	1.00000	1615559	0.99944	0.00315	0.00119	0.62356	0.01269
HG03729	940092	1.00000	1678183	0.99959	0.00134	0.00046	0.64095	0.01159
HG02721	973506	1.00000	1568992	0.99953	0.00131	0.00047	0.61711	0.01264
HG03556	988278	1.00000	1585270	0.99944	0.00233	0.00089	0.61599	0.01278
HG03824	927819	1.00000	1644525	0.99941	0.00175	0.00059	0.63931	0.01399
NA20895	929667	1.00000	1666901	0.99952	0.00102	0.00031	0.64196	0.01235
HG01973	1003281	1.00000	1470682	0.99950	0.00082	0.00026	0.59446	0.01357
NA18917	973624	1.00000	1591377	0.99951	0.00072	0.00023	0.62042	0.01294
HG00717	1024621	1.00000	1508197	0.99951	0.00087	0.00027	0.59546	0.01316
NA19758	1023270	1.00000	1539540	0.99951	0.00091	0.00029	0.60072	0.01207
HG03862	1033977	1.00000	1468337	0.99943	0.00164	0.00060	0.58679	0.01298
NA19331	974059	1.00000	1623002	0.99959	0.00079	0.00026	0.62494	0.01077
HG01785	935360	1.00000	1660426	0.99954	0.00104	0.00033	0.63966	0.01051
HG02521	1028477	1.00000	1560030	0.99949	0.00088	0.00028	0.60268	0.01250
HG03123	982063	1.00000	1576541	0.99955	0.00114	0.00040	0.61617	0.01216
HG02116	1025693	1.00000	1553593	0.99945	0.00077	0.00024	0.60233	0.01322
NA19648	935834	1.00000	1605928	0.99952	0.00084	0.00026	0.63182	0.01192
NA18559	1055143	1.00000	1569771	0.99951	0.00109	0.00035	0.59803	0.01131
HG00318	907506	1.00000	1592592	0.99951	0.00085	0.00026	0.63701	0.01317
HG01205	906891	1.00000	1764860	0.99960	0.00086	0.00027	0.66056	0.01048
HG03394	985957	1.00000	1569003	0.99952	0.00102	0.00036	0.61410	0.01233
HG01933	970611	1.00000	1633538	0.99955	0.00098	0.00032	0.62728	0.01196
HG02379	1017253	1.00000	1489870	0.99949	0.00090	0.00029	0.59425	0.01343
NA19108	987163	1.00000	1549746	0.99954	0.00085	0.00028	0.61088	0.01259
NA19323	959542	1.00000	1608491	0.99951	0.00081	0.00026	0.62635	0.01220
NA20517	924529	1.00000	1605270	0.99953	0.00116	0.00039	0.63454	0.01234
NA21118	931114	1.00000	1646434	0.99949	0.00089	0.00028	0.63876	0.01337
NA19198	1003083	1.00000	1591787	0.99957	0.00112	0.00038	0.61344	0.01116
HG00281	929651	1.00000	1634965	0.99932	0.00094	0.00029	0.63751	0.02250
HG00734	907995	1.00000	1686783	0.99954	0.00096	0.00030	0.65007	0.01251
NA20809	923063	1.00000	1643759	0.99954	0.00102	0.00033	0.64039	0.01170
HG01494	931427	1.00000	1686578	0.99954	0.00096	0.00030	0.64422	0.01198
HG01512	898429	1.00000	1582232	0.99948	0.00089	0.00027	0.63783	0.01361
NA18637	1042111	1.00000	1563914	0.99950	0.00114	0.00038	0.60011	0.01220
HG00231	915400	1.00000	1626430	0.99952	0.00082	0.00026	0.63987	0.01220
HG01369	985005	1.00000	1654621	0.99950	0.00091	0.00029	0.62684	0.01016
HG03563	974180	1.00000	1568972	0.99953	0.00208	0.00075	0.61694	0.01192
HG00626	1047903	1.00000	1548216	0.99946	0.00085	0.00027	0.59636	0.01330
HG03771	945569	1.00000	1679333	0.99944	0.00283	0.00100	0.63977	0.01212
HG03225	983748	1.00000	1563545	0.99952	0.00097	0.00034	0.61381	0.01259
HG03743	977684	1.00000	1617642	0.99950	0.00099	0.00032	0.62329	0.01208
NA12413	889159	1.00000	1540811	0.99954	0.00101	0.00031	0.63409	0.01312
HG00118	923564	1.00000	1657395	0.99961	0.00100	0.00031	0.64216	0.01099
HG03046	948315	1.00000	1550402	0.99952	0.00091	0.00032	0.62048	0.01434
HG02947	969024	1.00000	1577372	0.99947	0.00141	0.00053	0.61945	0.01334
HG03028	937044	1.00000	1520056	0.99947	0.00083	0.00027	0.61864	0.01481
HG02629	969314	1.00000	1579424	0.99952	0.00092	0.00031	0.61969	0.01294
NA20525	918307	1.00000	1631055	0.99956	0.00135	0.00041	0.63979	0.01140
HG01599	1044578	1.00000	1559020	0.99952	0.00085	0.00027	0.59879	0.01156
NA21098	926083	1.00000	1642399	0.99952	0.00110	0.00035	0.63944	0.01290
NA12718	910820	1.00000	1631889	0.99954	0.00127	0.00044	0.64179	0.01227
HG02690	982516	1.00000	1543389	0.99951	0.00196	0.00070	0.61102	0.01232
HG01530	908197	1.00000	1633042	0.99949	0.00094	0.00029	0.64262	0.01252
NA20804	892130	1.00000	1578129	0.99948	0.00129	0.00039	0.63885	0.01390
NA18864	962744	1.00000	1536881	0.99951	0.00077	0.00026	0.61484	0.01415
HG01678	901802	1.00000	1589931	0.99950	0.00085	0.00026	0.63808	0.01306
NA12400	941208	1.00000	1664656	0.99963	0.00113	0.00037	0.63881	0.00922
HG01047	890838	1.00000	1681882	0.99957	0.00090	0.00028	0.65374	0.01251
NA18624	1039524	1.00000	1529819	0.99940	0.00106	0.00033	0.59541	0.01431
HG03741	964518	1.00000	1633709	0.99953	0.00165	0.00057	0.62878	0.01142
NA19081	1034952	1.00000	1514494	0.99947	0.00094	0.00031	0.59405	0.01358
HG03115	942876	1.00000	1490423	0.99949	0.00116	0.00040	0.61251	0.01406
NA18945	1047062	1.00000	1527674	0.99943	0.00092	0.00029	0.59333	0.01259
NA21101	945144	1.00000	1711874	0.99958	0.00105	0.00032	0.64428	0.01009
NA18874	943748	1.00000	1546613	0.99951	0.00084	0.00027	0.62104	0.01368
HG03867	985774	1.00000	1566225	0.99959	0.00094	0.00030	0.61372	0.01195
NA20766	905811	1.00000	1607291	0.99956	0.00138	0.00042	0.63956	0.01229
HG01680	910816	1.00000	1591022	0.99950	0.00104	0.00034	0.63594	0.01328
