#SAMPLE	HQ_HOM	HQ_HOM_RATE	HQ_HET	HQ_HET_RATE	CHARR	MEAN_REF_AB_HOM_ALT	HETEROZYGOSITY_RATE	INCONSISTENT_AB_HET_RATE
NA19144	985814	1.00000	1586043	0.99949	0.00148	0.00055	0.61669	0.01264
NA18876	961507	1.00000	1584751	0.99958	0.00079	0.00026	0.62238	0.01311
HG04020	962523	1.00000	1677480	0.99937	0.00557	0.00215	0.63541	0.01167
NA18534	1029508	1.00000	1511782	0.99947	0.00074	0.00024	0.59489	0.01374
HG02643	965715	1.00000	1568250	0.99941	0.00233	0.00091	0.61889	0.01309
HG01847	1037255	1.00000	1548522	0.99954	0.00095	0.00030	0.59886	0.01184
HG02085	1022969	1.00000	1527489	0.99948	0.00089	0.00029	0.59891	0.01412
HG02407	1030745	1.00000	1542081	0.99952	0.00092	0.00029	0.59937	0.01215
HG01807	1032011	1.00000	1525775	0.99951	0.00096	0.00031	0.59652	0.01255
HG02164	1052006	1.00000	1559422	0.99941	0.00396	0.00152	0.59715	0.01096
HG03619	933383	1.00000	1606912	0.99954	0.00183	0.00060	0.63257	0.01200
NA07347	938276	1.00000	1628962	0.99948	0.00153	0.00049	0.63452	0.01316
NA18933	959010	1.00000	1540219	0.99953	0.00087	0.00028	0.61628	0.01295
NA18520	983477	1.00000	1562455	0.99955	0.00096	0.00032	0.61371	0.01291
HG02840	955721	1.00000	1545478	0.99953	0.00126	0.00041	0.61789	0.01278
HG01176	938593	1.00000	1739511	0.99957	0.00106	0.00033	0.64953	0.01007
HG01894	974826	1.00000	1663870	0.99963	0.00091	0.00030	0.63057	0.00933
NA20863	941468	1.00000	1695538	0.99958	0.00090	0.00028	0.64298	0.01188
HG01187	894416	1.00000	1720110	0.99956	0.00125	0.00038	0.65791	0.01143
NA18964	1047767	1.00000	1522476	0.99950	0.00090	0.00029	0.59235	0.01280
HG03237	935131	1.00000	1656327	0.99953	0.00136	0.00046	0.63915	0.01139
HG01537	908480	1.00000	1619597	0.99955	0.00134	0.00046	0.64064	0.01254
HG00701	1052235	1.00000	1587445	0.99950	0.00099	0.00032	0.60138	0.01092
NA20342	881852	1.00000	1770212	0.99961	0.00089	0.00028	0.66748	0.01146
HG02450	950352	1.00000	1636369	0.99948	0.00208	0.00079	0.63260	0.01236
HG00274	926409	1.00000	1621052	0.99955	0.00083	0.00026	0.63634	0.01170
HG01253	905868	1.00000	1725736	0.99956	0.00083	0.00026	0.65577	0.01211
NA18632	1039412	1.00000	1543968	0.99942	0.00116	0.00041	0.59765	0.01370
HG03866	942085	1.00000	1654397	0.99953	0.00094	0.00029	0.63717	0.01270
HG03740	1005428	1.00000	1521448	0.99948	0.00088	0.00029	0.60211	0.01278
HG03012	931853	1.00000	1684520	0.99950	0.00188	0.00063	0.64384	0.01342
HG00189	895135	1.00000	1587074	0.99952	0.00084	0.00026	0.63938	0.01349
NA12873	927057	1.00000	1657388	0.99956	0.00136	0.00043	0.64129	0.00938
HG00277	924554	1.00000	1623914	0.99950	0.00086	0.00027	0.63721	0.01254
HG00157	906686	1.00000	1620764	0.99944	0.00081	0.00025	0.64126	0.01376
NA19031	993691	1.00000	1653316	0.99957	0.00118	0.00039	0.62460	0.00929
HG03772	963464	1.00000	1613468	0.99949	0.00101	0.00033	0.62612	0.01289
NA19317	979146	1.00000	1616222	0.99952	0.00079	0.00026	0.62273	0.01216
HG03077	983892	1.00000	1545988	0.99960	0.00121	0.00041	0.61109	0.01236
NA19113	988121	1.00000	1541700	0.99953	0.00084	0.00028	0.60941	0.01256
HG01500	904003	1.00000	1635393	0.99952	0.00089	0.00027	0.64401	0.01241
HG03363	979800	1.00000	1530099	0.99951	0.00146	0.00053	0.60963	0.01373
HG03837	1062523	1.00000	1445182	0.99939	0.00202	0.00078	0.57630	0.01282
HG00978	1057918	1.00000	1563144	0.99949	0.00185	0.00066	0.59638	0.01105
HG02017	1002610	1.00000	1512210	0.99945	0.00092	0.00031	0.60132	0.01398
NA19074	1058270	1.00000	1519862	0.99951	0.00127	0.00040	0.58952	0.01196
NA19755	966594	1.00000	1568418	0.99952	0.00077	0.00025	0.61870	0.01351
